Label	Color	X	Y	Z	X_adjusted	Y_adjusted	Z_adjusted
Wing_l1	#0000ff	-0.007022453224934815	-0.002852375422255081	0.023908952360431925	-0.007757349334207299	-0.0031508750395336533	0.026411011897699357
Wing_l2	#26a269	-0.007623283326575934	-0.0027899084492841535	0.023598997457571803	-0.00842105599620229	-0.0030818709300487563	0.026068620374065026
centroid	#000000	-0.007322868275755375	-0.0028211419357696173	0.023753974909001864	-0.008089202665204794	-0.003116372984791205	0.026239816135882194
